GOM: Zeit [s],GOM: Dehnung (Mittelwert): Epsilon Y [%],Querdehnung (Mittelwert): Epsilon X [%],Verformung 1: Länge Y-Differenz [mm],ZWICK-AVG: Dehnung,ZWICK-AVG: Standardkraft,ZWICK-AVG: Prfzeit,ZWICK-AVG: Geschwindigkeitsverhltnis,ZWICK-AVG: Standardweg,Sum of ZWICK samples
144.6,0.932501148,-0.219760531,0.399594799,3.2920233333333337,1280.1777777777777,141.77344444444444,1.0,3.2920233333333337,9
144.4,0.930514038,-0.2212453,0.399819921,3.2872499999999993,1279.0685714285714,141.56942857142857,1.0,3.2872499999999993,7
144.2,0.928014391,-0.219944675,0.398343432,3.282177142857143,1277.3285714285714,141.3524285714286,1.0,3.282177142857143,7
144.0,0.927655847,-0.220253642,0.398124586,3.2772875,1277.08,141.143,1.0,3.2772875,4
143.8,0.925859643,-0.219819449,0.398337736,3.273035,1276.21,140.96116666666668,1.0,3.273035,6
143.6,0.92426059,-0.220838103,0.397781801,3.267822857142857,1275.0885714285712,140.7377142857143,1.0,3.267822857142857,7
143.4,0.921923174,-0.218908586,0.395316027,3.2634000000000003,1274.465,140.54775,1.0,3.2634000000000003,4
143.2,0.920016921,-0.21949355,0.393721134,3.2586033333333333,1272.4333333333332,140.34166666666667,1.0,3.2586033333333333,6
143.0,0.918488062,-0.21863659,0.394719207,3.2537225,1270.9799999999998,140.133,1.0,3.2537225,4
142.8,0.916275572,-0.219006285,0.393819962,3.24871,1270.11,139.918,1.0,3.24871,4
142.6,0.914081234,-0.218454087,0.392660018,3.2444371428571435,1269.3642857142856,139.735,1.0,3.2444371428571435,7
142.4,0.91221533,-0.217565937,0.392597266,3.2399277777777775,1268.1755555555553,139.5426666666667,1.0,3.2399277777777775,9
142.2,0.910249785,-0.217173875,0.391524229,3.235087142857143,1266.6257142857144,139.335,1.0,3.235087142857143,7
142.0,0.909037822,-0.21604294,0.391896805,3.2307383333333335,1266.3366666666668,139.14833333333334,1.0,3.2307383333333335,6
141.8,0.907258422,-0.216162643,0.390436025,3.2262711111111115,1266.0455555555554,138.9558888888889,1.0,3.2262711111111115,9
141.6,0.904560618,-0.216456614,0.390262503,3.2211866666666666,1265.465,138.73783333333336,1.0,3.2211866666666666,6
141.4,0.902748427,-0.215766296,0.389342276,3.2169899999999996,1265.1314285714288,138.55800000000002,1.0,3.2169899999999996,7
141.2,0.900926868,-0.215541465,0.388286502,3.211712857142857,1264.634285714286,138.3325714285714,1.0,3.211712857142857,7
141.0,0.899211345,-0.215752186,0.386958292,3.207948333333333,1262.8500000000001,138.17133333333334,1.0,3.207948333333333,6
140.8,0.897359902,-0.214372399,0.387307357,3.203257777777778,1261.2044444444446,137.97122222222222,1.0,3.203257777777778,9
140.6,0.89570757,-0.214106564,0.385406839,3.1977124999999997,1260.09125,137.733125,1.0,3.1977124999999997,8
140.4,0.893785809,-0.214529047,0.384957681,3.1932425,1258.785,137.5405,1.0,3.1932425,8
140.2,0.891693485,-0.214358461,0.382912215,3.1882133333333336,1256.46,137.32483333333334,1.0,3.1882133333333336,6
140.0,0.890187931,-0.213057226,0.384077924,3.18338,1255.01,137.118,1.0,3.18338,3
139.8,0.888118128,-0.213828906,0.38152808,3.179912857142857,1254.1814285714286,136.96928571428572,1.0,3.179912857142857,7
139.6,0.886411497,-0.212479276,0.381639275,3.1747325,1254.6475,136.747875,1.0,3.1747325,8
139.4,0.884339988,-0.213118746,0.381160434,3.1700939999999997,1252.342,136.5498,1.0,3.1700939999999997,5
139.2,0.881904386,-0.211112059,0.378983009,3.1665600000000005,1252.255,136.398,1.0,3.1665600000000005,4
139.0,0.88010434,-0.210885164,0.378967491,3.160895,1250.9466666666667,136.155,1.0,3.160895,6
138.8,0.878453731,-0.211507921,0.376514591,3.155712857142858,1249.702857142857,135.93228571428568,1.0,3.155712857142858,7
138.6,0.876755748,-0.20989127,0.377247755,3.15149,1248.4288888888889,135.7511111111111,1.0,3.15149,9
138.4,0.875051596,-0.209919151,0.376374196,3.1470442857142857,1247.2114285714288,135.56071428571428,1.0,3.1470442857142857,7
138.2,0.871826893,-0.210237892,0.375161604,3.1414616666666664,1244.5583333333332,135.32166666666666,1.0,3.1414616666666664,6
138.0,0.870520509,-0.209668777,0.374263146,3.1376200000000005,1244.3633333333332,135.1578888888889,1.0,3.1376200000000005,9
137.8,0.868436887,-0.209158458,0.373755163,3.1329675,1243.75875,134.95825,1.0,3.1329675,8
137.6,0.867710357,-0.208901544,0.373104073,3.128032,1243.28,134.746,1.0,3.128032,5
137.4,0.865480576,-0.208612611,0.371286862,3.1235016666666673,1241.6516666666666,134.55116666666666,1.0,3.1235016666666673,6
137.2,0.862466389,-0.208630881,0.371637459,3.1189757142857144,1239.992857142857,134.358,1.0,3.1189757142857144,7
137.0,0.86204671,-0.20835294,0.368916523,3.1142162499999997,1238.0975,134.15349999999998,1.0,3.1142162499999997,8
136.8,0.859928988,-0.207244632,0.369300223,3.1095844444444447,1237.2022222222224,133.95577777777777,1.0,3.1095844444444447,9
136.6,0.857611455,-0.206924289,0.366592654,3.1049555555555557,1235.6533333333334,133.75777777777776,1.0,3.1049555555555557,9
136.4,0.8556713,-0.206951792,0.366860842,3.1002300000000003,1234.6137500000002,133.55562500000002,1.0,3.1002300000000003,8
136.2,0.853758516,-0.206664729,0.365762421,3.0953585714285716,1234.0214285714287,133.3464285714286,1.0,3.0953585714285716,7
136.0,0.852532757,-0.205869644,0.365767509,3.0907314285714285,1231.7800000000002,133.1467142857143,1.0,3.0907314285714285,7
135.8,0.849811122,-0.205735313,0.364995113,3.0857650000000003,1230.91,132.93449999999999,1.0,3.0857650000000003,6
135.6,0.848161738,-0.205166771,0.363358604,3.0812955555555552,1228.4911111111112,132.74255555555553,1.0,3.0812955555555552,9
135.4,0.846003551,-0.205201542,0.364288583,3.0765014285714285,1228.297142857143,132.53785714285715,1.0,3.0765014285714285,7
135.2,0.844212381,-0.203887519,0.362771096,3.0719742857142855,1225.8071428571427,132.34385714285716,1.0,3.0719742857142855,7
135.0,0.84244249,-0.203675977,0.36047678,3.067093333333333,1224.8116666666665,132.13483333333332,1.0,3.067093333333333,6
134.8,0.840158302,-0.202746489,0.360134068,3.0627544444444443,1224.2299999999998,131.94933333333333,1.0,3.0627544444444443,9
134.6,0.839230923,-0.203525289,0.360190287,3.0581199999999997,1223.068,131.75,1.0,3.0581199999999997,5
134.4,0.835967433,-0.202844547,0.358618782,3.054052857142857,1221.8257142857142,131.57500000000002,1.0,3.054052857142857,7
134.2,0.834483065,-0.202181903,0.358653357,3.048571111111111,1220.551111111111,131.3401111111111,1.0,3.048571111111111,9
134.0,0.832529787,-0.202304367,0.357699037,3.04337,1219.0,131.118,1.0,3.04337,3
133.8,0.831324688,-0.200729126,0.356827097,3.039774285714285,1218.0900000000001,130.96357142857144,1.0,3.039774285714285,7
133.6,0.829203566,-0.200691053,0.357148922,3.0345800000000005,1216.4479999999999,130.74179999999998,1.0,3.0345800000000005,5
133.4,0.827449354,-0.200701631,0.353900487,3.029962857142857,1213.612857142857,130.54357142857143,1.0,3.029962857142857,7
133.2,0.825880566,-0.200585229,0.354907284,3.025447142857143,1215.1057142857142,130.34957142857144,1.0,3.025447142857143,7
133.0,0.823945742,-0.199431651,0.353312438,3.020918333333333,1212.908333333333,130.1548333333333,1.0,3.020918333333333,6
132.8,0.821340632,-0.199795628,0.352356274,3.01602,1211.745,129.9455,1.0,3.01602,8
132.6,0.820738418,-0.19867477,0.351514963,3.011645714285714,1210.3757142857141,129.75785714285715,1.0,3.011645714285714,7
132.4,0.817954374,-0.19929991,0.350662268,3.0066249999999997,1208.6950000000002,129.54312500000003,1.0,3.0066249999999997,8
132.2,0.816453938,-0.198432885,0.351177362,3.00182,1209.13,129.338,1.0,3.00182,1
132.0,0.814254356,-0.196898921,0.347331675,2.997985,1206.9525,129.17325,1.0,2.997985,4
131.8,0.813380512,-0.197500825,0.349005373,2.9935814285714284,1204.9,128.98357142857145,1.0,2.9935814285714284,7
131.6,0.811414132,-0.197324795,0.348532665,2.987788333333333,1203.615,128.73499999999999,1.0,2.987788333333333,6
131.4,0.809746643,-0.195789892,0.346242718,2.98324375,1203.25,128.5405,1.0,2.98324375,8
131.2,0.807864938,-0.19688637,0.346134728,2.97850625,1201.5075,128.337875,1.0,2.97850625,8
131.0,0.805490007,-0.195864946,0.344218812,2.974182857142857,1200.42,128.15242857142857,1.0,2.974182857142857,7
130.8,0.803008524,-0.196013604,0.345448415,2.9688914285714287,1198.4285714285713,127.92657142857145,1.0,2.9688914285714287,7
130.6,0.801857721,-0.195191906,0.343745545,2.9647533333333334,1197.3233333333335,127.7491111111111,1.0,2.9647533333333334,9
130.4,0.799956806,-0.195812813,0.34323885,2.960234285714286,1195.6928571428573,127.55514285714285,1.0,2.960234285714286,7
130.2,0.798372129,-0.196004089,0.342534835,2.95524625,1193.66875,127.340625,1.0,2.95524625,8
130.0,0.796848396,-0.195784685,0.343369419,2.9509799999999995,1193.74,127.15800000000002,1.0,2.9509799999999995,6
129.8,0.794491651,-0.194866578,0.340955065,2.947047142857143,1192.4557142857143,126.98928571428571,1.0,2.947047142857143,7
129.6,0.792214144,-0.193710435,0.339960118,2.9415744444444445,1190.3533333333335,126.75566666666666,1.0,2.9415744444444445,9
129.4,0.79000515,-0.192935904,0.337966311,2.9369,1189.4699999999998,126.55528571428572,1.0,2.9369,7
129.2,0.789083444,-0.193199303,0.338352854,2.9320466666666665,1188.2233333333334,126.34783333333333,1.0,2.9320466666666665,6
129.0,0.787217351,-0.192863677,0.338757832,2.92743,1186.2314285714288,126.14957142857142,1.0,2.92743,7
128.8,0.785131693,-0.192068153,0.334950369,2.923078888888889,1184.7388888888888,125.96233333333333,1.0,2.923078888888889,9
128.6,0.782767722,-0.19200402,0.337247318,2.9183133333333333,1183.8666666666668,125.75783333333334,1.0,2.9183133333333333,6
128.4,0.781266815,-0.190844169,0.334074881,2.913652,1182.3,125.5578,1.0,2.913652,5
128.2,0.779215504,-0.190905189,0.333152609,2.908226,1179.8580000000002,125.3258,1.0,2.908226,5
128.0,0.776653634,-0.19051125,0.333563065,2.9044774999999996,1179.9475,125.16537500000001,1.0,2.9044774999999996,8
127.8,0.776325396,-0.190525674,0.333415992,2.8993577777777775,1178.7377777777779,124.94677777777777,1.0,2.8993577777777775,9
127.6,0.773835501,-0.190001382,0.331197322,2.894428571428572,1176.2771428571427,124.73485714285717,1.0,2.894428571428572,7
127.4,0.772722464,-0.18982372,0.330590851,2.8898477777777773,1175.2544444444447,124.5378888888889,1.0,2.8898477777777773,9
127.2,0.770690625,-0.188084349,0.33004325,2.88589,1173.7066666666667,124.36833333333334,1.0,2.88589,6
127.0,0.768560773,-0.188010863,0.328434077,2.8803583333333336,1171.6733333333334,124.13133333333333,1.0,2.8803583333333336,6
126.8,0.767060179,-0.18838528,0.32925173,2.8759455555555555,1170.6088888888887,123.94244444444445,1.0,2.8759455555555555,9
126.6,0.764664702,-0.18792677,0.328077602,2.871005,1169.06,123.73116666666665,1.0,2.871005,6
126.4,0.762484994,-0.187180075,0.326050621,2.866578,1166.9679999999998,123.54180000000001,1.0,2.866578,5
126.2,0.761222839,-0.187580047,0.326797682,2.862662,1166.62,123.3738,1.0,2.862662,5
126.0,0.759892477,-0.186996874,0.326499305,2.8578616666666665,1164.7033333333331,123.16783333333332,1.0,2.8578616666666665,6
125.8,0.757645543,-0.186823389,0.324604232,2.8536816666666667,1163.54,122.98783333333331,1.0,2.8536816666666667,6
125.6,0.755961117,-0.186047254,0.324261204,2.8481666666666667,1161.3166666666666,122.75144444444443,1.0,2.8481666666666667,9
125.4,0.753871555,-0.185505988,0.324864098,2.84378125,1160.3474999999996,122.56312500000001,1.0,2.84378125,8
125.2,0.75233144,-0.185963411,0.323672982,2.8387028571428568,1158.6071428571427,122.34642857142858,1.0,2.8387028571428568,7
125.0,0.75038091,-0.185267477,0.322815135,2.8345283333333335,1157.1533333333332,122.16783333333335,1.0,2.8345283333333335,6
124.8,0.748974667,-0.184249389,0.322417729,2.829828571428572,1155.8671428571427,121.96671428571429,1.0,2.829828571428572,7
124.6,0.746196485,-0.184641463,0.321345116,2.824691428571428,1154.6228571428571,121.74642857142858,1.0,2.824691428571428,7
124.4,0.745573758,-0.184185373,0.320744381,2.8200312499999995,1151.63625,121.545625,1.0,2.8200312499999995,8
124.2,0.743310004,-0.183196314,0.31851359,2.8153771428571432,1150.8885714285718,121.34642857142858,1.0,2.8153771428571432,7
124.0,0.742248702,-0.182917983,0.318237402,2.8111366666666666,1150.1833333333334,121.16450000000002,1.0,2.8111366666666666,6
123.8,0.740165953,-0.182933778,0.316566373,2.8066357142857146,1148.6485714285716,120.97214285714287,1.0,2.8066357142857146,7
123.6,0.738488089,-0.182162791,0.315801765,2.800687142857143,1145.9128571428573,120.71785714285716,1.0,2.800687142857143,7
123.4,0.736556956,-0.182501815,0.316208837,2.7965585714285717,1144.42,120.54114285714286,1.0,2.7965585714285717,7
123.2,0.735171676,-0.181659758,0.315730856,2.7917657142857144,1142.6771428571428,120.33528571428573,1.0,2.7917657142857144,7
123.0,0.733007685,-0.181557837,0.314618952,2.787765,1141.8375,120.162875,1.0,2.787765,8
122.8,0.731429387,-0.181864578,0.313041328,2.78327125,1139.44125,119.970375,1.0,2.78327125,8
122.6,0.73018369,-0.18040963,0.312999195,2.7781412500000005,1139.005,119.7505,1.0,2.7781412500000005,8
122.4,0.727935814,-0.179840093,0.313394583,2.77303,1137.7,119.531,1.0,2.77303,3
122.2,0.725909816,-0.179326799,0.311749425,2.7692971428571433,1136.2057142857143,119.37214285714286,1.0,2.7692971428571433,7
122.0,0.724344774,-0.180172256,0.309371908,2.7638914285714278,1135.4585714285715,119.14099999999998,1.0,2.7638914285714278,7
121.8,0.721954791,-0.179749587,0.311016828,2.7592700000000003,1132.9075,118.94300000000001,1.0,2.7592700000000003,8
121.6,0.720664931,-0.178375877,0.309826056,2.7546583333333334,1131.6,118.7445,1.0,2.7546583333333334,6
121.4,0.718142886,-0.179267637,0.307789047,2.7501599999999997,1129.9544444444446,118.55122222222222,1.0,2.7501599999999997,9
121.2,0.717178697,-0.176963153,0.306669057,2.7453214285714287,1129.2357142857143,118.34385714285715,1.0,2.7453214285714287,7
121.0,0.714248798,-0.17793432,0.306477626,2.7411462500000003,1126.80875,118.16537500000001,1.0,2.7411462500000003,8
120.8,0.713890947,-0.177442503,0.307555086,2.736395,1124.631,117.96189999999999,1.0,2.736395,10
120.6,0.712626929,-0.177123645,0.304635796,2.7315125,1122.89,117.753,1.0,2.7315125,8
120.4,0.709313306,-0.175411095,0.304012016,2.7259320000000002,1122.0179999999998,117.51379999999999,1.0,2.7259320000000002,5
120.2,0.708837151,-0.174223809,0.304689872,2.722074,1120.9730000000002,117.3481,1.0,2.722074,10
120.0,0.70643794,-0.175474484,0.30278281,2.717276666666667,1119.405,117.14166666666667,1.0,2.717276666666667,6
119.8,0.704257689,-0.176062051,0.301472,2.7126200000000003,1117.4879999999998,116.94239999999999,1.0,2.7126200000000003,5
119.6,0.702895762,-0.174905649,0.301838315,2.7080511111111116,1116.4033333333334,116.74666666666667,1.0,2.7080511111111116,9
119.4,0.700728005,-0.174881977,0.299147809,2.7031771428571427,1114.3028571428572,116.538,1.0,2.7031771428571427,7
119.2,0.700061934,-0.173638238,0.299299627,2.6988619999999997,1114.0039999999997,116.3538,1.0,2.6988619999999997,5
119.0,0.698282542,-0.173969772,0.299768478,2.694564,1111.5639999999999,116.16980000000001,1.0,2.694564,5
118.8,0.69568284,-0.174582017,0.298343547,2.6897944444444444,1109.8211111111111,115.96477777777778,1.0,2.6897944444444444,9
118.6,0.695256409,-0.173884694,0.297091933,2.6846487499999996,1107.8625,115.743,1.0,2.6846487499999996,8
118.4,0.693103526,-0.172743647,0.29732037,2.68020375,1105.9037500000002,115.55325,1.0,2.68020375,8
118.2,0.691746843,-0.172765957,0.295988545,2.6757283333333333,1105.1783333333333,115.36133333333333,1.0,2.6757283333333333,6
118.0,0.690497404,-0.171806372,0.295573504,2.670516,1101.808,115.1384,1.0,2.670516,5
117.8,0.689126354,-0.172040411,0.29385357,2.665976666666667,1101.11,114.94466666666666,1.0,2.665976666666667,6
117.6,0.686237275,-0.17114355,0.294355154,2.6613677777777784,1098.5955555555556,114.74688888888889,1.0,2.6613677777777784,9
117.4,0.685057984,-0.171210239,0.295175474,2.6571000000000002,1098.1242857142856,114.56400000000001,1.0,2.6571000000000002,7
117.2,0.683415672,-0.171448827,0.291524059,2.6521185714285713,1095.6357142857144,114.34928571428573,1.0,2.6521185714285713,7
117.0,0.680466428,-0.17023723,0.291871579,2.647648,1094.8380000000002,114.15800000000002,1.0,2.647648,5
116.8,0.680812558,-0.169815055,0.291814394,2.6428,1092.3975,113.95037500000001,1.0,2.6428,8
116.6,0.678607937,-0.169209023,0.291031135,2.637582857142857,1090.9057142857143,113.72642857142857,1.0,2.637582857142857,7
116.4,0.676205478,-0.169027594,0.289560696,2.63328125,1089.785,113.542875,1.0,2.63328125,8
116.2,0.675075447,-0.168386732,0.28832976,2.6286911111111113,1087.9455555555555,113.34677777777779,1.0,2.6286911111111113,9
116.0,0.673748919,-0.168914851,0.288375599,2.624557142857143,1084.9328571428573,113.1692857142857,1.0,2.624557142857143,7
115.8,0.671377739,-0.168710385,0.287315568,2.619742,1083.69,112.96209999999999,1.0,2.619742,10
115.6,0.669986857,-0.168476742,0.286750121,2.6148266666666666,1082.5283333333334,112.75116666666668,1.0,2.6148266666666666,6
115.4,0.668622397,-0.167619047,0.285384908,2.6102442857142854,1081.2,112.55514285714285,1.0,2.6102442857142854,7
115.2,0.666392968,-0.166888391,0.284416306,2.6059142857142854,1081.2,112.36942857142857,1.0,2.6059142857142854,7
115.0,0.665401281,-0.16653134,0.285239451,2.6010987500000002,1078.24375,112.16312500000001,1.0,2.6010987500000002,8
114.8,0.663181515,-0.166083392,0.28463859,2.596049,1076.892,111.94800000000001,1.0,2.596049,10
114.6,0.661810338,-0.16574008,0.282269412,2.5911683333333335,1074.105,111.73816666666666,1.0,2.5911683333333335,6
114.4,0.659317745,-0.165367447,0.283173142,2.5867685714285713,1072.984285714286,111.54928571428572,1.0,2.5867685714285713,7
114.2,0.658702549,-0.165228426,0.282592557,2.582418,1070.446,111.36179999999999,1.0,2.582418,5
114.0,0.656759375,-0.164482092,0.280347376,2.577366,1069.402,111.146,1.0,2.577366,5
113.8,0.655860414,-0.163831715,0.28251026,2.5730844444444445,1067.8155555555559,110.96255555555557,1.0,2.5730844444444445,9
113.6,0.654039346,-0.163588986,0.281489213,2.5683700000000003,1066.267142857143,110.76099999999998,1.0,2.5683700000000003,7
113.4,0.651775087,-0.164411095,0.279294779,2.5633611111111114,1064.1366666666668,110.54688888888889,1.0,2.5633611111111114,9
113.2,0.649573425,-0.16300833,0.278288303,2.559024285714286,1062.5314285714287,110.361,1.0,2.559024285714286,7
113.0,0.647797302,-0.162627654,0.277270242,2.5539625,1061.9099999999999,110.1435,1.0,2.5539625,4
112.8,0.645784312,-0.163122495,0.2766114,2.54971375,1060.60375,109.96062500000001,1.0,2.54971375,8
112.6,0.645349131,-0.162498913,0.276839184,2.54498,1058.948,109.758,1.0,2.54498,5
112.4,0.644134459,-0.162353992,0.27565121,2.53980125,1057.77125,109.53575000000001,1.0,2.53980125,8
112.2,0.641657192,-0.16115983,0.275258553,2.5353685714285716,1055.0642857142857,109.34642857142858,1.0,2.5353685714285716,7
112.0,0.639425737,-0.160520784,0.273465221,2.5315624999999997,1053.1999999999998,109.18350000000001,1.0,2.5315624999999997,4
111.8,0.638200629,-0.160639335,0.272430781,2.52623125,1052.7649999999999,108.955375,1.0,2.52623125,8
111.6,0.637272754,-0.160347365,0.271736607,2.5212775,1049.93375,108.742875,1.0,2.5212775,8
111.4,0.634442403,-0.159331925,0.272243002,2.51792,1048.8439999999998,108.5978,1.0,2.51792,5
111.2,0.633265316,-0.159776507,0.271542625,2.5123842857142855,1048.0942857142857,108.3607142857143,1.0,2.5123842857142855,7
111.0,0.632086547,-0.158884548,0.271972491,2.5072716666666666,1045.36,108.14166666666665,1.0,2.5072716666666666,6
110.8,0.630310986,-0.158460347,0.269800075,2.5029720000000006,1044.8349999999998,107.9579,1.0,2.5029720000000006,10
110.6,0.628306633,-0.15821015,0.268065408,2.4982022222222224,1042.0677777777778,107.75355555555556,1.0,2.4982022222222224,9
110.4,0.627121986,-0.158186132,0.268856719,2.4936885714285713,1041.1257142857144,107.561,1.0,2.4936885714285713,7
110.2,0.625578146,-0.157317668,0.266963948,2.4887849999999996,1038.39,107.350375,1.0,2.4887849999999996,8
110.0,0.624127895,-0.157527724,0.267456442,2.483478,1036.9959999999999,107.12180000000001,1.0,2.483478,5
109.8,0.622233687,-0.157252087,0.26674052,2.47912125,1035.33875,106.93550000000002,1.0,2.47912125,8
109.6,0.619767711,-0.15631342,0.265489229,2.4750975,1034.0300000000002,106.76275000000001,1.0,2.4750975,4
109.4,0.618751028,-0.1564198,0.264078452,2.4695283333333333,1032.8700000000001,106.52449999999999,1.0,2.4695283333333333,6
109.2,0.616953198,-0.156925729,0.265177398,2.4652755555555554,1030.838888888889,106.34255555555556,1.0,2.4652755555555554,9
109.0,0.615911701,-0.155233336,0.263551047,2.4608016666666668,1029.0966666666666,106.15166666666669,1.0,2.4608016666666668,6
